Date ID,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),ADX,MACD,MACD_Sig,MACD_Hist,MOM,ATR,RSI,SlowD,SlowK,WILLR,Upper_Band,Middle_Band,Lower_Band,SMA,EMA,Actual Close Value,Label
27670,-1.007918734,-1.030088582,-1.029872629,-1.045806009,0.4913863568,-0.512281872,0.3339295735,0.3884176272,0.9992571057,-1.661473148,-1.693780104,-0.07803636055,-0.5667313265,-0.861046799,-0.7299074904,-1.69870846,-1.023052765,-1.004204991,-0.9839426441,-0.9954505758,-1.024214526,5222.4,0
34745,-1.055834423,-1.006562397,-1.067068651,-1.082140684,2.166257877,0.7386851653,0.2605656343,0.1698107539,0.8370073948,-1.863220336,-1.484989377,0.2460487672,-0.8833823448,-1.333138146,-1.011807234,-1.706360619,-1.020722162,-1.024669568,-1.027309193,-0.9917107722,-1.02759734,5220.45,0
2103,-1.092733572,-1.093148783,-1.088991095,-1.083363334,1.102786437,-0.07913989951,0.2299876381,-0.008679775385,0.6691166205,-1.9273272,-1.389283707,0.1704112725,-0.8938725346,-1.528198407,-1.34190232,-1.489998915,-1.025181654,-1.039666029,-1.052884799,-0.9897341857,-1.030842234,5333.55,0
16253,-1.038245516,-1.031466947,-1.013626811,-1.012449587,0.6087423164,-0.1143854931,0.05275957158,-0.02253716813,0.5318467459,-1.57934142,-0.5936410525,0.2805306323,-0.1603182871,-0.6934747482,-1.281515846,-0.7175646778,-1.035035603,-1.042909187,-1.049474273,-0.9860134899,-1.02921884,5359.55,1
37478,-0.9593771057,-0.9815951935,-0.9912339281,-0.996147576,0.1393390098,-0.341637251,-0.1066628511,-0.006553554334,0.4254418504,-1.228581846,0.2353319352,0.2833980485,-0.01313156867,0.1066704762,-0.7626646076,-0.5399935887,-1.03496617,-1.042890331,-1.049506316,-0.9827259021,-1.02662916,5429.5,1
4836,-0.9775606558,-0.9711008232,-0.9514034493,-0.9522888966,0.1981010051,-0.5616325631,-0.2354492405,0.08273515132,0.3593727073,-0.7701933462,0.1193899923,0.2295290064,0.3569530304,1.001906026,0.149086995,0.3834561378,-0.9854956601,-1.024141612,-1.06168349,-0.975460726,-1.021325099,5463.9,1
11911,-0.9152796494,-0.933039152,-0.9219226225,-0.9307200821,0.2292686152,-0.01338598225,-0.2882314814,0.1879084176,0.3289620318,-0.3649590219,0.2369984518,0.1459534878,0.5249519185,1.148733982,0.8129476402,0.792228301,-0.950932163,-0.9937841475,-1.035596098,-0.9698419975,-1.014946193,5380.5,1
18986,-0.9328372597,-0.956158093,-0.9692801209,-0.9830119172,-0.1531394617,-0.5410484962,-0.4393093403,0.1700241407,0.3008168738,-0.3392129503,0.0563004341,0.1839639764,-0.03596129455,0.7598678695,1.048334671,0.1714409488,-0.9776612116,-0.9736652565,-0.9683812913,-0.9667677792,-1.012414334,5317.9,0
26061,-0.9842582112,-0.9667151163,-1.00522164,-1.022262143,1.758569441,0.7817741231,-0.58229137,0.07964521442,0.259013314,-0.4944314325,-0.3350929007,0.3616826978,-0.4035262515,-0.3221549769,0.5711943895,-0.4262889062,-0.9743701649,-0.9756325207,-0.9756350776,-0.9657487013,-1.012624508,5257.05,0
7569,-1.011173621,-1.032469394,-1.046902511,-1.060415119,0.1965354367,-0.4210960942,-0.6433564774,-0.06450637412,0.1948076073,-0.749016655,-0.6250667947,0.3862899187,-0.7270722616,-1.309656215,-0.314714181,-1.007309061,-0.958024718,-0.9885171588,-1.017904091,-0.9672093796,-1.015327724,5274.85,0
